,first_name,last_name,pesel,address,phone_number,email,disease,place
0,Damian,Kuzior,58550880700,"Gdańsk, ul. Świętojańska 135",+48 604 629 163,rajczykleonard@example.org,grypa,Poradania rodzinna
1,Błażej,Jereczek,55636654826,"Gdańsk, ul. Świętojańska 120",531 263 001,tolawietecha@example.org,astma,NZOZ Glińskiego
2,Cezary,Teper,95630099561,"Gdańsk, ul. Podwale Staromiejskie 99",793 197 208,apoloniagarczarek@example.com,grypa,Miła Przychodnia
3,Szymon,Koziarz,42521924494,"Gdańsk, ul. Wały Jagiellońskie 54",694 200 742,srycerz@example.net,astma,Poradania rodzinna
4,Kornelia,Bidas,39645108936,"Gdańsk, ul. Kartuska 20",880 461 643,martykakacper@example.org,cukrzyca,NZOZ Glińskiego
5,Ewelina,Wasilewicz,40544750765,"Gdańsk, ul. Świętojańska 110",695 524 410,ewasado@example.net,choroba serca,Miła Przychodnia
6,Sandra,Dulewicz,4512993536,"Gdańsk, ul. Mariacka 114",669 280 628,lkuban@example.org,nadciśnienie,Medovec
7,Anastazja,Pawliczek,56315970946,"Gdańsk, ul. Wały Jagiellońskie 141",+48 693 732 996,michalgogol@example.org,nowotwór,Miła Przychodnia
8,Mikołaj,Fac,11362508050,"Gdańsk, ul. Mariacka 76",799 240 558,szymonwarczak@example.net,choroba serca,NZOZ Glińskiego
9,Jakub,Sugier,27405691502,"Gdańsk, ul. Kartuska 51",+48 797 004 313,maciej12@example.net,grypa,Medovec
10,Dorota,Frankowicz,48137666277,"Gdańsk, ul. Kartuska 96",515 664 723,lorenzmaksymilian@example.com,cukrzyca,Poradania rodzinna
11,Kacper,Poniedziałek,83208436727,"Gdańsk, ul. Długa 59",697 842 875,marcel67@example.org,cukrzyca,OpoMed
12,Wiktor,Kusztal,74705661545,"Gdańsk, ul. Długa 100",503 682 284,bruno81@example.net,reumatyzm,Miła Przychodnia
13,Olaf,Stróż,43521891111,"Gdańsk, ul. Świętojańska 138",791 718 771,hskala@example.com,zapalenie płuc,Centrum Medyczne
14,Witold,Pagacz,61963592493,"Gdańsk, ul. Świętojańska 129",32 821 09 06,lesnyapolonia@example.com,cukrzyca,Miła Przychodnia
15,Maks,Straszak,4339669078,"Gdańsk, ul. Długa 24",+48 884 931 423,marekklamka@example.org,astma,Centrum Medyczne
16,Roksana,Bona,46662076344,"Gdańsk, ul. Kartuska 67",506 565 616,leon59@example.net,nadciśnienie,Miła Przychodnia
17,Przemysław,Korda,53187501654,"Gdańsk, ul. Długa 112",+48 32 506 95 31,ignacy24@example.net,zapalenie płuc,Poradania rodzinna
18,Ida,Kulis,96594062344,"Gdańsk, ul. Kartuska 128",609 741 726,falbarobert@example.com,astma,Miła Przychodnia
19,Ryszard,Witos,43273465214,"Gdańsk, ul. Wały Jagiellońskie 15",+48 505 257 159,ibogdal@example.net,cukrzyca,OpoMed
20,Józef,Kulisz,63873323351,"Gdańsk, ul. Mariacka 105",+48 605 962 860,rupkarol@example.net,zapalenie płuc,NZOZ Glińskiego
21,Stanisław,Chudoba,44521258514,"Gdańsk, ul. Długa 17",+48 574 811 356,komisarekgabriel@example.com,grypa,OpoMed
22,Cyprian,Ziółko,24847794707,"Gdańsk, ul. Wały Jagiellońskie 58",696 055 523,wojciechfrelich@example.com,nowotwór,Medovec
23,Natan,Achtelik,55881674420,"Gdańsk, ul. Wały Jagiellońskie 143",509 384 648,epacyga@example.com,choroba serca,Centrum Medyczne
24,Kamil,Furgała,49440926694,"Gdańsk, ul. Wały Jagiellońskie 44",608 659 734,palejmieszko@example.com,cukrzyca,NZOZ Glińskiego
25,Natan,Godzik,36234973919,"Gdańsk, ul. Mariacka 133",661 329 251,vszczechowicz@example.org,grypa,Medovec
26,Adrian,Danel,84574635919,"Gdańsk, ul. Długa 72",887 753 530,domuraddorota@example.org,grypa,NZOZ Glińskiego
27,Jacek,Pioch,96446913951,"Gdańsk, ul. Świętojańska 86",723 139 669,abramczuktomasz@example.org,astma,OpoMed
28,Franciszek,Obarzanek,99080461052,"Gdańsk, ul. Mariacka 131",+48 509 653 785,sserwach@example.net,astma,Centrum Medyczne
29,Liwia,Przekwas,5960856740,"Gdańsk, ul. Podwale Staromiejskie 68",508 122 283,ykaliciak@example.org,cukrzyca,Medovec
30,Konrad,Starościak,87767558803,"Gdańsk, ul. Mariacka 144",664 360 823,przerwasylwia@example.org,nadciśnienie,Miła Przychodnia
31,Sara,Gruza,13986496241,"Gdańsk, ul. Kartuska 51",22 428 43 14,lukasz13@example.com,nadciśnienie,Miła Przychodnia
32,Andrzej,Roszkiewicz,41745509850,"Gdańsk, ul. Świętojańska 42",601 750 539,monika11@example.net,reumatyzm,Medovec
33,Mikołaj,Maciejewicz,85065500835,"Gdańsk, ul. Świętojańska 148",+48 693 415 367,dariusz52@example.com,choroba serca,Centrum Medyczne
34,Marcelina,Zbylut,48864286624,"Gdańsk, ul. Wały Jagiellońskie 52",+48 784 982 195,tomasz75@example.net,nowotwór,Medovec
35,Wojciech,Miszkurka,54344064425,"Gdańsk, ul. Kartuska 104",577 089 960,fmigon@example.org,choroba serca,OpoMed
36,Marianna,Frydel,15262738680,"Gdańsk, ul. Wały Jagiellońskie 7",885 783 815,krystynaromankiewicz@example.net,nowotwór,Poradania rodzinna
37,Nataniel,Stachów,70322785392,"Gdańsk, ul. Długa 41",+48 22 162 32 30,anna-mariachlad@example.com,choroba serca,Medovec
38,Jędrzej,Strzała,62401707961,"Gdańsk, ul. Kartuska 32",+48 885 540 602,krzysztofkucharz@example.net,nadciśnienie,OpoMed
39,Krzysztof,Mszyca,71262112887,"Gdańsk, ul. Wały Jagiellońskie 147",+48 788 430 827,inga07@example.com,grypa,Medovec
40,Apolonia,Krefta,14471480382,"Gdańsk, ul. Mariacka 77",+48 509 603 798,michalprawdzik@example.net,grypa,Centrum Medyczne
41,Dariusz,Garczyk,29089217678,"Gdańsk, ul. Mariacka 146",+48 723 971 917,fneugebauer@example.net,zapalenie płuc,Miła Przychodnia
42,Kornel,Pacholik,97050008059,"Gdańsk, ul. Mariacka 90",+48 880 611 114,witoldzywica@example.net,nowotwór,Miła Przychodnia
43,Oskar,Kaszkowiak,4861445444,"Gdańsk, ul. Wały Jagiellońskie 50",22 345 29 26,cdarlak@example.net,cukrzyca,Miła Przychodnia
44,Monika,Ziegert,28664076031,"Gdańsk, ul. Wały Jagiellońskie 77",+48 668 882 265,grabanstefan@example.com,nadciśnienie,NZOZ Glińskiego
45,Mieszko,Sarniak,55918093333,"Gdańsk, ul. Kartuska 121",732 312 976,orutowicz@example.com,zapalenie płuc,OpoMed
46,Natan,Bobak,45816582589,"Gdańsk, ul. Mariacka 111",509 217 541,wellwart@example.net,reumatyzm,OpoMed
47,Natan,Hus,27384196716,"Gdańsk, ul. Mariacka 61",575 261 320,mrotekoliwier@example.net,reumatyzm,NZOZ Glińskiego
48,Tymoteusz,Ufniarz,55718127195,"Gdańsk, ul. Kartuska 98",+48 785 816 667,nwiklo@example.org,cukrzyca,Medovec
49,Cezary,Sypuła,78633490218,"Gdańsk, ul. Długa 149",695 063 588,nela26@example.com,nowotwór,Miła Przychodnia
50,Juliusz,Mostek,36269288554,"Gdańsk, ul. Kartuska 140",571 755 234,cfornalik@example.net,nowotwór,Miła Przychodnia
51,Nikodem,Sadura,75496422115,"Gdańsk, ul. Kartuska 2",+48 579 864 029,fkiwior@example.net,nadciśnienie,Poradania rodzinna
52,Kajetan,Starzak,9595328929,"Gdańsk, ul. Długa 3",+48 696 282 009,iwoklucznik@example.com,grypa,Medovec
53,Anita,Wasyluk,29065297579,"Gdańsk, ul. Wały Jagiellońskie 59",+48 794 848 754,arkadiuszchojna@example.com,nadciśnienie,Medovec
54,Anna Maria,Parkitna,57302595620,"Gdańsk, ul. Długa 53",32 290 01 46,cyrulikradoslaw@example.com,cukrzyca,NZOZ Glińskiego
55,Artur,Jaroszuk,97197982643,"Gdańsk, ul. Mariacka 91",+48 574 088 847,gruzanatasza@example.net,zapalenie płuc,NZOZ Glińskiego
56,Jeremi,Orzeszek,73166153121,"Gdańsk, ul. Długa 49",799 903 072,cyprian37@example.org,grypa,Miła Przychodnia
57,Bruno,Moniuszko,98969580874,"Gdańsk, ul. Długa 121",691 785 612,akujawiak@example.com,choroba serca,Medovec
58,Daniel,Stempin,81596348150,"Gdańsk, ul. Długa 55",+48 602 603 095,mariuszbienia@example.com,astma,Centrum Medyczne
59,Inga,Apanowicz,49686634747,"Gdańsk, ul. Kartuska 32",695 523 720,dabrosstanislaw@example.net,zapalenie płuc,Centrum Medyczne
60,Marcin,Bobik,9713509179,"Gdańsk, ul. Długa 58",+48 694 942 900,lwyroba@example.com,astma,Miła Przychodnia
61,Piotr,Troka,97998320968,"Gdańsk, ul. Wały Jagiellońskie 131",+48 737 273 209,baldyshubert@example.org,reumatyzm,Medovec
62,Maks,Drewa,88251035982,"Gdańsk, ul. Świętojańska 68",504 235 531,ignacygradziel@example.org,reumatyzm,Centrum Medyczne
63,Ada,Szramka,39359949681,"Gdańsk, ul. Kartuska 22",+48 792 472 057,sengeranastazja@example.org,nowotwór,Miła Przychodnia
64,Marika,Szajna,97135484031,"Gdańsk, ul. Mariacka 42",882 812 205,stefanzimon@example.org,choroba serca,OpoMed
65,Kamila,Romejko,52199906075,"Gdańsk, ul. Wały Jagiellońskie 12",693 937 995,skuska@example.com,zapalenie płuc,Poradania rodzinna
66,Olga,Cyrulik,68911984413,"Gdańsk, ul. Kartuska 130",+48 515 329 497,sandrastiller@example.net,zapalenie płuc,NZOZ Glińskiego
67,Mariusz,Graboń,88811700015,"Gdańsk, ul. Kartuska 20",666 193 594,dawid12@example.com,astma,NZOZ Glińskiego
68,Tobiasz,Winnik,94171279280,"Gdańsk, ul. Świętojańska 59",+48 788 580 172,nicolemieszala@example.com,reumatyzm,NZOZ Glińskiego
69,Paweł,Żbik,96279726528,"Gdańsk, ul. Mariacka 42",+48 32 996 21 32,sypienliwia@example.com,choroba serca,NZOZ Glińskiego
70,Kamila,Obuchowicz,83720017338,"Gdańsk, ul. Kartuska 133",32 127 44 95,cieciuratobiasz@example.com,nadciśnienie,NZOZ Glińskiego
71,Olgierd,Karpiak,30153378095,"Gdańsk, ul. Świętojańska 107",+48 722 788 988,antonismieja@example.com,zapalenie płuc,Poradania rodzinna
72,Marcin,Balcewicz,82375950773,"Gdańsk, ul. Wały Jagiellońskie 90",+48 724 811 153,luczkaanastazja@example.com,choroba serca,Miła Przychodnia
73,Sebastian,Pokrzywa,39717885118,"Gdańsk, ul. Świętojańska 121",+48 518 092 937,konstantyradziewicz@example.com,cukrzyca,Miła Przychodnia
74,Rafał,Drabczyk,24741956661,"Gdańsk, ul. Mariacka 10",+48 882 742 088,grotektola@example.org,nowotwór,Miła Przychodnia
75,Tola,Leszczuk,50225537949,"Gdańsk, ul. Kartuska 132",+48 665 077 798,uzok@example.com,astma,Centrum Medyczne
76,Robert,Iciek,62634741890,"Gdańsk, ul. Kartuska 21",798 033 420,ppelka@example.org,astma,Miła Przychodnia
